PRECINCT,D_votes,R_votes
GAHANNA 03-C,397,282
GAHANNA 03-D,550,332
GAHANNA 03-F,363,205
GAHANNA 03-G,392,240
GAHANNA 04-A,318,205
GAHANNA 04-B,300,135
GAHANNA 04-C,298,203
GAHANNA 04-E,442,313
GRANDVIEW-A,227,111
GRANDVIEW-B,171,88
GROVE CITY 01-C,2,3
GROVE CITY 04-A,135,95
GROVEPORT-A,269,258
GROVEPORT-B,2,0
GROVEPORT-D,331,262
GROVEPORT-E,267,177
HAMILTON-A,10,23
HAMILTON-B,6,16
JACKSON-A,36,63
JACKSON-C,2,5
JEFFERSON-A,9,11
JEFFERSON-D,418,183
JEFFERSON-E,529,524
JEFFERSON-F,392,329
JEFFERSON-G,304,152
JEFFERSON-H,317,124
JEFFERSON-I,231,136
MADISON-A,0,2
MADISON-B,63,107
MADISON-C,297,273
MADISON-D,390,208
MADISON-E,103,171
MADISON-F,303,216
MADISON-G,214,167
MADISON-H,300,188
MIFFLIN-A,191,118
MIFFLIN-B,211,86
MINERVA PARK-A,563,272
NEW ALBANY-A,1,2
NEW ALBANY-B,8,9
NEW ALBANY-D,364,431
NORWICH-A,3,2
OBETZ-B,325,326
OBETZ-C,136,165
PLAIN-A,5,0
PRAIRIE-B,18,50
PRAIRIE-C,87,124
PRAIRIE-D,207,201
PRAIRIE-F,271,243
PRAIRIE-G,192,247
PRAIRIE-H,251,156
PRAIRIE-I,211,196
PRAIRIE-J,91,90
PRAIRIE-K,4,12
REYNOLDSBURG 01-A,332,144
REYNOLDSBURG 01-B,358,268
REYNOLDSBURG 01-C,363,161
REYNOLDSBURG 01-D,369,267
REYNOLDSBURG 01-E,198,125
REYNOLDSBURG 01-F,287,151
REYNOLDSBURG 01-G,410,282
REYNOLDSBURG 02-A,609,381
REYNOLDSBURG 02-B,327,254
REYNOLDSBURG 02-C,145,98
REYNOLDSBURG 02-D,243,169
REYNOLDSBURG 02-E,117,127
REYNOLDSBURG 02-F,441,298
REYNOLDSBURG 03-A,478,239
REYNOLDSBURG 03-B,165,143
REYNOLDSBURG 04-A,255,78
REYNOLDSBURG 04-B,411,91
REYNOLDSBURG 04-C,272,174
REYNOLDSBURG 04-D,222,212
REYNOLDSBURG 04-E,236,201
REYNOLDSBURG 04-F,151,62
REYNOLDSBURG 04-G,234,43
SHARON-A,13,6
TRURO-A,30,47
